Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
TM35_000082020-t36_1-p1	TM35_000082020-t36_1-p1	6	6	6	TM35_000082020-t36_1-p1 | transcript=TM35_000082020-t36_1 | gene=TM35_000082020 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000008:266190-266510(+) | prote	1	6	6	6	27.4	27.4	27.4	12.183	106	106	0	41.961	20215000	10				313	2253;2424;3503;3504;3630;3631	True;True;True;True;True;True	2284;2475;3569;3570;3699;3700;3701;3702	2793;3028;4400;4401;4566;4567;4568;4569	5343;5344;5345;5761;8368;8369;8741;8742;8743;8744	5343;5761;8368;8369;8742;8743		
TM35_000082200-t36_1-p1	TM35_000082200-t36_1-p1	2	2	2	TM35_000082200-t36_1-p1 | transcript=TM35_000082200-t36_1 | gene=TM35_000082200 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000008:312724-314148(-) | prote	1	2	2	2	4	4	4	53.504	474	474	0	13.908	5237200	2				314	6;4046	True;True	6;4118	12;5065	29;9657	29;9657		
TM35_000082210-t36_1-p1	TM35_000082210-t36_1-p1	5	5	5	TM35_000082210-t36_1-p1 | transcript=TM35_000082210-t36_1 | gene=TM35_000082210 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000008:316843-318117(-) | prote	1	5	5	5	17.5	17.5	17.5	47.613	424	424	0	57.484	20225000	11				315	184;655;2271;2938;3318	True;True;True;True;True	187;661;2302;2996;3382	229;808;2813;3668;3669;4163	423;1468;5385;5386;5387;5388;6926;6927;6928;6929;7892	423;1468;5386;6927;7892	45	223
TM35_000082300-t36_1-p1	TM35_000082300-t36_1-p1	9	9	8	TM35_000082300-t36_1-p1 | transcript=TM35_000082300-t36_1 | gene=TM35_000082300 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=microtubule-associated protein | transcript_product=microtubule-associated protein | location=NBCO01000008:3370	1	9	9	8	33.8	33.8	33.8	36.572	328	328	0	66.1	10704000	17				316	426;806;1656;1756;2686;2713;3152;3295;3322	True;True;True;True;True;True;True;True;True	431;814;1676;1777;2742;2769;3215;3358;3386	516;996;2063;2183;2184;3360;3361;3392;3952;4133;4168	932;1844;3972;4205;4206;4207;4208;6358;6359;6409;7482;7483;7837;7838;7839;7899;7900	932;1844;3972;4206;6358;6409;7482;7837;7899		
TM35_000082310-t36_1-p1	TM35_000082310-t36_1-p1	3	2	2	TM35_000082310-t36_1-p1 | transcript=TM35_000082310-t36_1 | gene=TM35_000082310 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=microtubule-associated protein-like protein | transcript_product=microtubule-associated protein-like protein | 	1	3	2	2	48.1	48.1	48.1	14.96	133	133	0	14.855	252650000	14				317	2686;3259;3260	False;True;True	2742;3322;3323	3360;3361;4090;4091;4092	6358;6359;7754;7755;7756;7757;7758;7759;7760;7761;7762;7763;7764;7765;7766;7767	6358;7755;7759		
TM35_000082320-t36_1-p1	TM35_000082320-t36_1-p1	4	3	3	TM35_000082320-t36_1-p1 | transcript=TM35_000082320-t36_1 | gene=TM35_000082320 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=microtubule-associated protein-like protein | transcript_product=microtubule-associated protein-like protein | 	1	4	3	3	25.6	20.6	20.6	18.254	160	160	0	25.833	190670000	14				318	2686;3257;3258;3288	False;True;True;True	2742;3320;3321;3351	3360;3361;4086;4087;4088;4089;4126	6358;6359;7742;7743;7744;7745;7746;7747;7748;7749;7750;7751;7752;7753;7823;7824	6358;7744;7750;7823		
TM35_000082330-t36_1-p1	TM35_000082330-t36_1-p1	3	3	3	TM35_000082330-t36_1-p1 | transcript=TM35_000082330-t36_1 | gene=TM35_000082330 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000008:341676-342248(-) | prote	1	3	3	3	21.6	21.6	21.6	21.13	190	190	0	22.039	2286600	4				319	1657;3351;3539	True;True;True	1677;3415;3606	2064;4208;4444	3973;7961;8457;8458	3973;7961;8457		
TM35_000082600-t36_1-p1	TM35_000082600-t36_1-p1	1	1	1	TM35_000082600-t36_1-p1 | transcript=TM35_000082600-t36_1 | gene=TM35_000082600 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000008:396554-399115(-) | prote	1	1	1	1	2.8	2.8	2.8	94.061	853	853	0	6.2562	563650	1				320	1281	True	1299	1605	3081	3081		
TM35_000082630-t36_1-p1	TM35_000082630-t36_1-p1	7	7	7	TM35_000082630-t36_1-p1 | transcript=TM35_000082630-t36_1 | gene=TM35_000082630 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000008:404814-405467(-) | prote	1	7	7	7	42.9	42.9	42.9	23.65	217	217	0	81.88	21398000	23				321	127;1361;1765;1799;2446;2816;2910	True;True;True;True;True;True;True	130;1380;1788;1822;2497;2872;2966	163;1695;2201;2202;2203;2244;3052;3523;3636	305;306;307;308;3221;4252;4253;4254;4255;4256;4257;4258;4259;4260;4261;4338;5801;5802;6665;6666;6667;6668;6867	307;3221;4260;4338;5802;6665;6867		
TM35_000082700-t36_1-p1	TM35_000082700-t36_1-p1	1	1	1	TM35_000082700-t36_1-p1 | transcript=TM35_000082700-t36_1 | gene=TM35_000082700 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=RNA-binding protein RGGm | transcript_product=RNA-binding protein RGGm | location=NBCO01000008:419671-420720(-)	1	1	1	1	3.7	3.7	3.7	35.004	349	349	0	6.7373	409130	1				322	475	True	480	573	1040	1040		
TM35_000082730-t36_1-p1	TM35_000082730-t36_1-p1	1	1	1	TM35_000082730-t36_1-p1 | transcript=TM35_000082730-t36_1 | gene=TM35_000082730 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=putative argonaute-like protein | transcript_product=putative argonaute-like protein | location=NBCO01000008:42	1	1	1	1	1.4	1.4	1.4	100.26	898	898	0	6.9389	291810	2				323	3573	True	3640	4493	8578;8579	8579		
TM35_000082760-t36_1-p1	TM35_000082760-t36_1-p1	3	3	3	TM35_000082760-t36_1-p1 | transcript=TM35_000082760-t36_1 | gene=TM35_000082760 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=putative heat shock protein 85 | transcript_product=putative heat shock protein 85 | location=NBCO01000008:4381	1	3	3	3	5.8	5.8	5.8	81.139	707	707	0	28.602	2839100	4				324	102;1728;2142	True;True;True	103;1748;2169	127;2142;2666	233;4120;4121;5140	233;4120;5140		
TM35_000083190-t36_1-p1	TM35_000083190-t36_1-p1	1	1	1	TM35_000083190-t36_1-p1 | transcript=TM35_000083190-t36_1 | gene=TM35_000083190 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000008:530761-535116(+) | prote	1	1	1	1	0.8	0.8	0.8	165.67	1451	1451	0	6.2076	192690	1				325	2288	True	2319	2831	5420	5420		
TM35_000083260-t36_1-p1	TM35_000083260-t36_1-p1	1	1	1	TM35_000083260-t36_1-p1 | transcript=TM35_000083260-t36_1 | gene=TM35_000083260 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=putative 60S ribosomal protein L6 | transcript_product=putative 60S ribosomal protein L6 | location=NBCO0100000	1	1	1	1	6.6	6.6	6.6	21.349	196	196	0	7.0662	1753700	1				326	2630	True	2684	3287	6245	6245		
TM35_000083320-t36_1-p1	TM35_000083320-t36_1-p1	4	4	4	TM35_000083320-t36_1-p1 | transcript=TM35_000083320-t36_1 | gene=TM35_000083320 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000008:561926-562873(+) | prote	1	4	4	4	14.9	14.9	14.9	34.859	315	315	0	38.726	6841700	5				327	458;754;762;3782	True;True;True;True	463;762;770;3853	552;932;942;943;4749	1005;1721;1738;1739;9053	1005;1721;1739;9053		
TM35_000083440-t36_1-p1	TM35_000083440-t36_1-p1	4	4	4	TM35_000083440-t36_1-p1 | transcript=TM35_000083440-t36_1 | gene=TM35_000083440 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000008:598659-598964(+) | prote	1	4	4	4	44.6	44.6	44.6	11.053	101	101	0	36.809	13263000	8				328	1782;2159;3007;3799	True;True;True;True	1805;2186;3067;3870	2222;2685;3756;4767	4305;5171;5172;5173;7113;7114;9090;9091	4305;5172;7113;9090		
TM35_000083560-t36_1-p1	TM35_000083560-t36_1-p1	9	9	9	TM35_000083560-t36_1-p1 | transcript=TM35_000083560-t36_1 | gene=TM35_000083560 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000008:633343-633867(+) | prote	1	9	9	9	55.2	55.2	55.2	19.135	174	174	0	84.748	294040000	31				329	240;316;1086;1998;2461;2955;3425;3593;3641	True;True;True;True;True;True;True;True;True	244;320;1100;2025;2512;3013;3490;3660;3712	298;384;385;1360;2489;2490;3082;3690;3691;3692;4294;4516;4517;4518;4579	545;546;695;696;697;698;699;2632;4810;4811;4812;4813;5873;6983;6984;6985;6986;6987;6988;6989;6990;8150;8151;8152;8633;8634;8635;8636;8637;8638;8763	545;699;2632;4812;5873;6989;8151;8634;8763		
TM35_000083640-t36_1-p1	TM35_000083640-t36_1-p1	1	1	1	TM35_000083640-t36_1-p1 | transcript=TM35_000083640-t36_1 | gene=TM35_000083640 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000008:653074-655491(+) | prote	1	1	1	1	1.2	1.2	1.2	89.801	805	805	0.00080451	6.1025	51537	1				330	3298	True	3361	4136	7842	7842		
TM35_000083680-t36_1-p1	TM35_000083680-t36_1-p1	1	1	1	TM35_000083680-t36_1-p1 | transcript=TM35_000083680-t36_1 | gene=TM35_000083680 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=pumilio/PUF RNA binding protein 6 | transcript_product=pumilio/PUF RNA binding protein 6 | location=NBCO0100000	1	1	1	1	1.5	1.5	1.5	98.495	916	916	0.00080386	6.0988	328170	1				331	585	True	590	719	1315	1315		
TM35_000083870-t36_1-p1	TM35_000083870-t36_1-p1	1	1	1	TM35_000083870-t36_1-p1 | transcript=TM35_000083870-t36_1 | gene=TM35_000083870 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000008:709738-710379(+) | prote	1	1	1	1	4.7	4.7	4.7	24.315	213	213	0	6.612	766180	1				332	1144	True	1159	1428	2775	2775		
TM35_000084130-t36_1-p1	TM35_000084130-t36_1-p1	1	1	1	TM35_000084130-t36_1-p1 | transcript=TM35_000084130-t36_1 | gene=TM35_000084130 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000008:773639-776098(+) | prote	1	1	1	1	3.3	3.3	3.3	93.694	819	819	0	7.238	430950	1				333	1110	True	1124	1390	2705	2705		
TM35_000084330-t36_1-p1	TM35_000084330-t36_1-p1	4	4	4	TM35_000084330-t36_1-p1 | transcript=TM35_000084330-t36_1 | gene=TM35_000084330 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000008:810479-811312(-) | prote	1	4	4	4	27.4	27.4	27.4	29.319	277	277	0	28.254	36962000	12				334	945;1183;4026;4036	True;True;True;True	956;1199;4098;4108	1182;1484;1485;5035;5053;5054	2273;2274;2275;2869;2870;9598;9634;9635;9636;9637;9638;9639	2273;2869;9598;9634		
TM35_000084350-t36_1-p1;TM35_000471750-t36_1-p1	TM35_000084350-t36_1-p1	4;1	4;1	4;1	TM35_000084350-t36_1-p1 | transcript=TM35_000084350-t36_1 | gene=TM35_000084350 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000008:815383-816390(-) | prote	2	4	4	4	10.1	10.1	10.1	35.765	335	335;194	0	26.361	4015700	4				335	1517;1577;2122;3466	True;True;True;True	1536;1597;2149;3531	1897;1969;2646;4346	3650;3781;5112;8266	3650;3781;5112;8266		
TM35_000084360-t36_1-p1	TM35_000084360-t36_1-p1	3	2	2	TM35_000084360-t36_1-p1 | transcript=TM35_000084360-t36_1 | gene=TM35_000084360 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000008:817075-818589(-) | prote	1	3	2	2	9.1	6.3	6.3	53.825	504	504	0	19.717	6623100	3				336	74;443;2740	False;True;True	75;448;2796	93;94;533;3428	174;175;176;963;6478;6479	174;963;6478		
TM35_000084370-t36_1-p1	TM35_000084370-t36_1-p1	5	5	5	TM35_000084370-t36_1-p1 | transcript=TM35_000084370-t36_1 | gene=TM35_000084370 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000008:819342-820286(-) | prote	1	5	5	5	38.9	38.9	38.9	32.757	314	314	0	47.483	16501000	18				337	876;1187;2483;2838;2927	True;True;True;True;True	885;1203;2534;2894;2984	1092;1489;1490;3107;3551;3656	2084;2085;2086;2087;2088;2089;2090;2880;2881;2882;5911;5912;5913;5914;6710;6711;6712;6904	2089;2882;5914;6710;6904		
TM35_000084390-t36_1-p1	TM35_000084390-t36_1-p1	4	4	4	TM35_000084390-t36_1-p1 | transcript=TM35_000084390-t36_1 | gene=TM35_000084390 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000008:822382-823518(-) | prote	1	4	4	4	24.1	24.1	24.1	39.673	378	378	0	53.645	12034000	9				338	827;1113;1135;1153	True;True;True;True	835;1127;1150;1168	1031;1393;1419;1438	1953;1954;2710;2711;2712;2713;2766;2787;2788	1954;2711;2766;2787		
TM35_000084410-t36_1-p1	TM35_000084410-t36_1-p1	4	4	4	TM35_000084410-t36_1-p1 | transcript=TM35_000084410-t36_1 | gene=TM35_000084410 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000008:827368-828336(-) | prote	1	4	4	4	15.2	15.2	15.2	33.181	322	322	0	64.761	9469000	13				339	681;1313;2677;3270	True;True;True;True	688;1332;2733;3333	843;1642;3350;3351;4105;4106	1561;1562;1563;1564;1565;3139;3140;6344;6345;7786;7787;7788;7789	1563;3139;6345;7787		
TM35_000084430-t36_1-p1;TM35_000741150-t36_1-p1	TM35_000084430-t36_1-p1;TM35_000741150-t36_1-p1	2;1	2;1	2;1	TM35_000084430-t36_1-p1 | transcript=TM35_000084430-t36_1 | gene=TM35_000084430 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000008:830268-831233(-) | prote	2	2	2	2	10.6	10.6	10.6	34.739	321	321;401	0	16.635	2707300	6				340	2936;3341	True;True	2994;3405	3666;4188	6919;6920;6921;6922;6923;7931	6919;7931		
TM35_000084440-t36_1-p1	TM35_000084440-t36_1-p1	4	4	4	TM35_000084440-t36_1-p1 | transcript=TM35_000084440-t36_1 | gene=TM35_000084440 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000008:831997-833082(-) | prote	1	4	4	4	14.9	14.9	14.9	40.098	362	362	0	31.981	5678700	11				341	1786;1984;2273;2570	True;True;True;True	1809;2011;2304;2624	2227;2471;2815;3215;3216	4312;4772;5390;6105;6106;6107;6108;6109;6110;6111;6112	4312;4772;5390;6112		
TM35_000084450-t36_1-p1;TM35_001051000-t36_1-p1	TM35_000084450-t36_1-p1	7;1	7;1	7;1	TM35_000084450-t36_1-p1 | transcript=TM35_000084450-t36_1 | gene=TM35_000084450 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000008:833749-834621(-) | prote	2	7	7	7	34.1	34.1	34.1	29.548	290	290;229	0	149.64	69272000	37				342	416;417;1088;1473;2367;2714;2862	True;True;True;True;True;True;True	421;422;1102;1492;2405;2406;2770;2918	504;505;506;507;1362;1363;1842;1843;1844;1845;1846;1847;1848;2935;2936;2937;3393;3394;3578	913;914;915;916;917;918;919;920;2635;2636;2637;2638;2639;2640;3549;3550;3551;3552;3553;3554;3555;3556;3557;5604;5605;5606;5607;5608;5609;5610;6410;6411;6412;6413;6754;6755;6756	913;917;2638;3551;5607;6411;6756	46	79
TM35_000084630-t36_1-p1	TM35_000084630-t36_1-p1	2	1	1	TM35_000084630-t36_1-p1 | transcript=TM35_000084630-t36_1 | gene=TM35_000084630 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=cyclophilin | transcript_product=cyclophilin | location=NBCO01000008:876613-877203(-) | protein_length=196 | se	1	2	1	1	10.7	7.1	7.1	21.094	196	196	0	7.3952	407730	2				343	248;2868	False;True	252;2924	308;3586	564;6778;6779	564;6778		
TM35_000091200-t36_1-p1	TM35_000091200-t36_1-p1	6	6	6	TM35_000091200-t36_1-p1 | transcript=TM35_000091200-t36_1 | gene=TM35_000091200 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000009:58428-58955(-) | protein	1	6	6	6	53.7	53.7	53.7	19.587	175	175	0	88.943	21065000	16				344	476;1213;2594;2693;3602;3882	True;True;True;True;True;True	481;1229;2648;2749;3669;3953	574;1522;3241;3369;4527;4528;4868	1041;1042;1043;2942;2943;6156;6369;8653;8654;8655;8656;8657;8658;9294;9295;9296	1042;2943;6156;6369;8654;9296		
TM35_000091270-t36_1-p1	TM35_000091270-t36_1-p1	1	1	1	TM35_000091270-t36_1-p1 | transcript=TM35_000091270-t36_1 | gene=TM35_000091270 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=RIO kinase 1 | transcript_product=RIO kinase 1 | location=NBCO01000009:75891-77555(-) | protein_length=554 | se	1	1	1	1	2.3	2.3	2.3	62.692	554	554	0	7.7445	366480	1				345	4027	True	4099	5036	9599	9599		
TM35_000091310-t36_1-p1	TM35_000091310-t36_1-p1	7	7	7	TM35_000091310-t36_1-p1 | transcript=TM35_000091310-t36_1 | gene=TM35_000091310 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=host cell surface-exposed lipoprotein | transcript_product=host cell surface-exposed lipoprotein | location=NBC	1	7	7	7	26.8	26.8	26.8	34.947	325	325	0	47.2	24911000	15				346	380;2019;2519;2991;3310;4015;4051	True;True;True;True;True;True;True	384;2046;2570;3049;3373;4087;4123	462;2517;3149;3736;4150;5024;5070	832;833;834;4860;4861;5979;5980;7080;7081;7867;7868;9579;9580;9664;9665	832;4860;5979;7081;7868;9579;9664		
TM35_000091350-t36_1-p1	TM35_000091350-t36_1-p1	14	14	14	TM35_000091350-t36_1-p1 | transcript=TM35_000091350-t36_1 | gene=TM35_000091350 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=putative Hsc70-interacting protein (Hip) | transcript_product=putative Hsc70-interacting protein (Hip) | locati	1	14	14	14	45.7	45.7	45.7	41.218	372	372	0	191.45	167110000	46				347	3;4;251;294;410;677;678;688;2073;2370;2371;2392;3236;3352	True;True;True;True;True;True;True;True;True;True;True;True;True;True	3;4;255;298;415;684;685;695;2100;2409;2410;2411;2412;2437;3299;3416	4;5;6;7;8;9;311;359;498;838;839;840;853;854;2586;2587;2940;2941;2942;2943;2944;2975;4061;4209	8;9;10;11;12;13;14;15;16;17;18;19;20;21;567;568;643;644;898;899;1552;1553;1554;1555;1556;1557;1576;1577;1578;1579;1580;4991;4992;5614;5615;5616;5617;5618;5619;5620;5668;5669;7689;7962;7963;7964	8;21;568;643;898;1552;1555;1579;4991;5615;5619;5669;7689;7963	47;48;49	1;337;338
TM35_000091460-t36_1-p1	TM35_000091460-t36_1-p1	1	1	1	TM35_000091460-t36_1-p1 | transcript=TM35_000091460-t36_1 | gene=TM35_000091460 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000009:118600-120324(-) | prote	1	1	1	1	2.6	2.6	2.6	61.193	574	574	0	8.5241	3558700	1				348	3683	True	3754	4632	8857	8857		
TM35_000091550-t36_1-p1	TM35_000091550-t36_1-p1	5	5	5	TM35_000091550-t36_1-p1 | transcript=TM35_000091550-t36_1 | gene=TM35_000091550 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=cofilin/actin depolymerizing factor | transcript_product=cofilin/actin depolymerizing factor | location=NBCO010	1	5	5	5	53.6	53.6	53.6	15.392	138	138	0	40.446	11786000	10				349	293;583;2160;3111;3678	True;True;True;True;True	297;588;2187;3171;3749	358;717;2686;3890;4626;4627	640;641;642;1313;5174;7390;8848;8849;8850;8851	640;1313;5174;7390;8849		
TM35_000091660-t36_1-p1	TM35_000091660-t36_1-p1	1	1	1	TM35_000091660-t36_1-p1 | transcript=TM35_000091660-t36_1 | gene=TM35_000091660 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=ABC transporter | transcript_product=ABC transporter | location=NBCO01000009:172357-178080(-) | protein_length=	1	1	1	1	0.7	0.7	0.7	211.46	1907	1907	0	16.839	714130	1				350	1800	True	1823	2245	4339	4339		
TM35_000091940-t36_1-p1	TM35_000091940-t36_1-p1	2	2	2	TM35_000091940-t36_1-p1 | transcript=TM35_000091940-t36_1 | gene=TM35_000091940 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=high mobility group protein | transcript_product=high mobility group protein | location=NBCO01000009:230554-231	1	2	2	2	7	7	7	30.707	270	270	0	12.928	676940	2				351	1711;2203	True;True	1731;2232	2124;2735	4089;5256	4089;5256		
TM35_000092190-t36_1-p1	TM35_000092190-t36_1-p1	1	1	1	TM35_000092190-t36_1-p1 | transcript=TM35_000092190-t36_1 | gene=TM35_000092190 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000009:283727-285580(+) | prote	1	1	1	1	1.6	1.6	1.6	68.582	617	617	0	8.1297	288560	1				352	1021	True	1034	1272	2450	2450		
TM35_000092230-t36_1-p1	TM35_000092230-t36_1-p1	6	6	6	TM35_000092230-t36_1-p1 | transcript=TM35_000092230-t36_1 | gene=TM35_000092230 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000009:290700-291284(+) | prote	1	6	6	6	30.4	30.4	30.4	23.616	194	194	0	40.207	5719100	11				353	1761;1963;2145;2236;2351;3054	True;True;True;True;True;True	1783;1989;2172;2266;2383;3114	2196;2443;2669;2771;2912;3813	4247;4714;4715;4716;5144;5145;5304;5305;5564;7234;7235	4247;4715;5145;5305;5564;7235		
TM35_000092310-t36_1-p1	TM35_000092310-t36_1-p1	2	2	2	TM35_000092310-t36_1-p1 | transcript=TM35_000092310-t36_1 | gene=TM35_000092310 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=tryparedoxin | transcript_product=tryparedoxin | location=NBCO01000009:318037-318471(+) | protein_length=144 | 	1	2	2	2	14.6	14.6	14.6	16.154	144	144	0	13.803	1673500	2				354	171;1452	True;True	174;1471	215;1815	403;3474	403;3474		
TM35_000092320-t36_1-p1	TM35_000092320-t36_1-p1	3	3	3	TM35_000092320-t36_1-p1 | transcript=TM35_000092320-t36_1 | gene=TM35_000092320 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000009:319635-320633(+) | prote	1	3	3	3	14.5	14.5	14.5	36.686	332	332	0	30.554	2378200	4				355	2195;3090;3208	True;True;True	2224;3150;3271	2727;3861;4024	5246;5247;7323;7621	5246;7323;7621		
TM35_000092390-t36_1-p1	TM35_000092390-t36_1-p1	1	1	1	TM35_000092390-t36_1-p1 | transcript=TM35_000092390-t36_1 | gene=TM35_000092390 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000009:335044-339075(+) | prote	1	1	1	1	1.7	1.7	1.7	147.59	1344	1344	0	8.2529	867540	3				356	1186	True	1202	1488	2877;2878;2879	2877		
TM35_000092440-t36_1-p1	TM35_000092440-t36_1-p1	2	2	2	TM35_000092440-t36_1-p1 | transcript=TM35_000092440-t36_1 | gene=TM35_000092440 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000009:351780-352205(+) | prote	1	2	2	2	17.7	17.7	17.7	15.48	141	141	0	13.33	4011800	2				357	1345;2036	True;True	1364;2063	1678;2536	3192;4907	3192;4907		
TM35_000092510-t36_1-p1	TM35_000092510-t36_1-p1	1	1	1	TM35_000092510-t36_1-p1 | transcript=TM35_000092510-t36_1 | gene=TM35_000092510 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000009:378424-379986(+) | prote	1	1	1	1	3.1	3.1	3.1	58.772	520	520	0	15.761	1113000	1				358	2341	True	2373	2900	5547	5547		
TM35_000092540-t36_1-p1	TM35_000092540-t36_1-p1	2	2	2	TM35_000092540-t36_1-p1 | transcript=TM35_000092540-t36_1 | gene=TM35_000092540 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000009:387838-390330(+) | prote	1	2	2	2	3.9	3.9	3.9	92.927	830	830	0	14.757	1952900	6				359	1479;3141	True;True	1498;3203	1855;3940	3572;3573;3574;3575;3576;7466	3573;7466		
TM35_000092550-t36_1-p1	TM35_000092550-t36_1-p1	1	1	1	TM35_000092550-t36_1-p1 | transcript=TM35_000092550-t36_1 | gene=TM35_000092550 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000009:393143-394666(+) | prote	1	1	1	1	3.4	3.4	3.4	55.533	507	507	0	16.217	865650	3				360	53	True	54	72	140;141;142	142		
TM35_000093040-t36_1-p1	TM35_000093040-t36_1-p1	8	8	8	TM35_000093040-t36_1-p1 | transcript=TM35_000093040-t36_1 | gene=TM35_000093040 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000009:527808-529139(-) | prote	1	8	8	8	19.2	19.2	19.2	50.659	443	443	0	105.51	148380000	27				361	389;2719;2996;3331;3416;3461;3694;4057	True;True;True;True;True;True;True;True	393;2775;3054;3395;3481;3526;3765;4129	473;3399;3400;3742;4177;4178;4285;4339;4340;4647;5077	851;852;6421;6422;6423;6424;7087;7088;7911;7912;7913;7914;8128;8129;8246;8247;8248;8249;8250;8251;8252;8253;8254;8885;8886;9672;9673	852;6422;7088;7913;8128;8250;8886;9673		
